cpu,ram,swap,disk
5.6,68.9,65.2,69.0
10.4,68.9,65.2,69.0
5.6,68.9,65.2,69.0
4.2,68.9,65.2,69.0
0.0,68.9,65.2,69.0
6.6,68.9,65.2,69.0
7.4,68.9,65.2,69.0
7.5,68.9,65.2,69.0
7.5,68.9,65.2,69.0
14.8,68.9,65.2,69.0
29.8,68.9,65.2,69.0
76.7,69.2,65.2,69.0
47.5,69.2,65.2,69.0
32.1,69.2,65.2,69.0
6.8,69.2,65.2,69.0
6.2,69.2,65.2,69.0
4.4,69.0,65.2,69.0
15.0,69.0,65.2,69.0
17.8,69.1,65.2,69.0
9.9,69.1,65.2,69.0
33.1,69.1,65.2,69.0
25.9,69.1,65.2,69.0
14.0,69.1,65.2,69.0
18.0,69.1,65.2,69.0
8.8,69.1,65.2,69.0
26.1,69.1,65.2,69.0
16.7,69.2,65.2,69.0
17.2,69.1,65.2,69.0
8.7,69.1,65.2,69.0
0.0,69.1,65.2,69.0
5.6,69.1,65.2,69.0
6.8,69.1,65.2,69.0
15.5,69.1,65.2,69.0
4.4,69.1,65.2,69.0
0.0,69.1,65.2,69.0
5.9,69.1,65.2,69.0
4.2,69.3,65.2,69.0
5.5,69.3,65.2,69.0
2.5,69.3,65.2,69.0
4.3,69.3,65.2,69.0
7.4,69.3,65.2,69.0
5.0,68.9,65.2,69.0
4.3,68.9,65.2,69.0
5.6,68.9,65.2,69.0
6.7,68.9,65.2,69.0
2.5,68.9,65.2,69.0
6.1,68.9,65.2,69.0
0.0,68.9,65.2,69.0
0.0,68.9,65.2,69.0
0.0,68.9,65.2,69.0
5.6,68.9,65.2,69.0
9.2,69.1,65.2,69.0
4.3,69.1,65.2,69.0
4.3,69.1,65.2,69.0
5.0,69.1,65.2,69.0
5.7,69.1,65.2,69.0
6.9,69.1,65.2,69.0
4.9,68.9,65.2,69.0
6.2,68.9,65.2,69.0
6.3,68.9,65.2,69.0
5.0,68.9,65.2,69.0
4.9,68.9,65.2,69.0
6.7,68.9,65.2,69.0
5.0,68.9,65.2,69.0
9.8,68.9,65.2,69.0
11.3,68.9,65.2,69.0
17.0,69.1,65.2,69.0
4.4,69.1,65.2,69.0
0.0,69.1,65.2,69.0
0.0,69.1,65.2,69.0
4.9,69.1,65.2,69.0
12.9,69.1,65.2,69.0
6.2,69.1,65.2,69.0
3.1,69.1,65.2,69.0
6.3,69.1,65.2,69.0
5.6,69.1,65.2,69.0
7.4,69.1,65.2,69.0
3.1,69.1,65.2,69.0
6.1,69.1,65.2,69.0
7.5,69.1,65.2,69.0
5.6,69.1,65.2,69.0
6.1,68.9,65.2,69.0
2.5,68.9,65.2,69.0
0.0,68.9,65.2,69.0
0.0,68.9,65.2,69.0
4.3,68.9,65.2,69.0
3.2,68.9,65.2,69.0
4.8,68.9,65.2,69.0
4.4,68.9,65.2,69.0
6.2,68.9,65.2,69.0
6.2,68.9,65.2,69.0
6.3,68.9,65.2,69.0
5.6,68.9,65.2,69.0
4.9,68.9,65.2,69.0
8.8,68.9,65.2,69.0
15.4,68.9,65.2,69.0
16.8,69.0,65.2,69.0
15.7,69.0,65.2,69.0
0.0,69.0,65.2,69.0
0.0,69.0,65.2,69.0
6.8,69.0,65.2,69.0
19.0,68.9,65.2,69.0
3.7,68.9,65.2,69.0
11.8,68.9,65.2,69.0
15.3,68.9,65.2,69.0
5.6,68.9,65.2,69.0
6.2,68.9,65.2,69.0
2.5,68.9,65.2,69.0
0.0,68.9,65.2,69.0
0.0,68.9,65.2,69.0
6.4,68.9,65.2,69.0
6.1,68.9,65.2,69.0
3.7,68.9,65.2,69.0
0.0,68.9,65.2,69.0
0.0,68.9,65.2,69.0
4.1,68.9,65.2,69.0
5.0,68.9,65.2,69.0
3.2,68.9,65.2,69.0
4.9,68.9,65.2,69.0
6.7,68.9,65.2,69.0
2.5,68.9,65.2,69.0
5.6,68.9,65.2,69.0
3.1,68.9,65.2,69.0
6.2,68.9,65.2,69.0
0.0,68.9,65.2,69.0
8.6,68.9,65.2,69.0
3.8,68.9,65.2,69.0
3.7,68.9,65.2,69.0
3.8,68.9,65.2,69.0
0.0,68.9,65.2,69.0
5.5,68.9,65.2,69.0
3.7,68.7,65.2,69.0
3.8,68.7,65.2,69.0
3.1,68.7,65.2,69.0
5.6,68.7,65.2,69.0
5.6,68.7,65.2,69.0
4.3,68.7,65.2,69.0
3.7,68.7,65.2,69.0
3.1,68.7,65.2,69.0
5.6,68.7,65.2,69.0
6.2,68.7,65.2,69.0
4.9,68.7,65.2,69.0
6.1,68.7,65.2,69.0
4.4,68.7,65.2,69.0
4.3,68.7,65.2,69.0
5.6,68.7,65.2,69.0
6.2,68.7,65.2,69.0
3.7,68.7,65.2,69.0
5.6,68.7,65.2,69.0
3.7,68.7,65.2,69.0
2.5,68.7,65.2,69.0
4.9,68.7,65.2,69.0
7.5,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
6.4,68.6,65.2,69.0
7.5,68.6,65.2,69.0
3.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
5.0,68.6,65.2,69.0
4.3,68.6,65.2,69.0
4.3,68.6,65.2,69.0
3.7,68.6,65.2,69.0
4.3,68.6,65.2,69.0
4.3,68.6,65.2,69.0
5.6,68.6,65.2,69.0
4.3,68.6,65.2,69.0
9.4,68.6,65.2,69.0
9.3,68.6,65.2,69.0
8.6,68.6,65.2,69.0
8.1,68.6,65.2,69.0
7.5,68.6,65.2,69.0
5.7,68.6,65.2,69.0
0.0,68.6,65.2,69.0
14.9,68.6,65.2,69.0
3.8,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
5.7,68.6,65.2,69.0
4.4,68.6,65.2,69.0
8.5,68.6,65.2,69.0
5.6,68.6,65.2,69.0
6.1,68.6,65.2,69.0
3.2,68.6,65.2,69.0
4.2,68.6,65.2,69.0
5.0,68.6,65.2,69.0
6.3,68.6,65.2,69.0
6.8,68.6,65.2,69.0
4.9,68.6,65.2,69.0
4.5,68.6,65.2,69.0
3.7,68.6,65.2,69.0
4.4,68.6,65.2,69.0
4.3,68.6,65.2,69.0
6.7,68.6,65.2,69.0
2.6,68.6,65.2,69.0
5.0,68.6,65.2,69.0
5.0,68.6,65.2,69.0
